name,author,instruments,domain,file_urls,files
Sinfonia 7,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV793/bwv793/bwv793.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV793/bwv793/bwv793.mid', 'path': 'SINFONIA_7.mid', 'checksum': 'bdca0bb16bde5ad35c57ff22f3c40741', 'status': 'downloaded'}]"
Sinfonia 3,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV789/bwv789/bwv789.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV789/bwv789/bwv789.mid', 'path': 'SINFONIA_3.mid', 'checksum': 'e5ace3ef95934a09786d2bda7c068dc1', 'status': 'downloaded'}]"
Sinfonia 8,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV794/bwv794/bwv794.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV794/bwv794/bwv794.mid', 'path': 'SINFONIA_8.mid', 'checksum': '0ae19e12b1d790d0965bc40ac057cade', 'status': 'downloaded'}]"
Sinfonia 10,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV796/bwv796/bwv796.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV796/bwv796/bwv796.mid', 'path': 'SINFONIA_10.mid', 'checksum': 'b96910ac447727944eb996a93c249025', 'status': 'downloaded'}]"
Sinfonia 15,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV801/bwv801/bwv801.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV801/bwv801/bwv801.mid', 'path': 'SINFONIA_15.mid', 'checksum': 'f0d372ab10d22bf2f8094dff66de92ff', 'status': 'downloaded'}]"
English Suite II: Bourree I,J. S. Bach (1685–1750),"Harpsichord, Piano, Clavichord",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV807/bach-english-suite-2-bourree-1/bach-english-suite-2-bourree-1.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV807/bach-english-suite-2-bourree-1/bach-english-suite-2-bourree-1.mid', 'path': 'ENGLISH_SUITE_II_BOURREE_I.mid', 'checksum': '2823f4d1db88cb94c49217879799dafa', 'status': 'downloaded'}]"
Sinfonia 11,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV797/bwv797/bwv797.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV797/bwv797/bwv797.mid', 'path': 'SINFONIA_11.mid', 'checksum': '821a84d7a8aa04a9dacfdab05b44b06d', 'status': 'downloaded'}]"
Sinfonia 13,J. S. Bach (1685–1750),"Harpsichord, Piano",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV799/bwv799/bwv799.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV799/bwv799/bwv799.mid', 'path': 'SINFONIA_13.mid', 'checksum': '16ba5c9ea390701856026c67721ab787', 'status': 'downloaded'}]"
English Suite I: Bourree II,J. S. Bach (1685–1750),"Harpsichord, Piano, Clavichord",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV806/bach-english-suite-1-bourree-2/bach-english-suite-1-bourree-2.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV806/bach-english-suite-1-bourree-2/bach-english-suite-1-bourree-2.mid', 'path': 'ENGLISH_SUITE_I_BOURREE_II.mid', 'checksum': '605e291ec03687333cc65c08b5731955', 'status': 'downloaded'}]"
English Suite I: Bourree I,J. S. Bach (1685–1750),"Harpsichord, Piano, Clavichord",Public Domain,https://www.mutopiaproject.org/ftp/BachJS/BWV806/bach-english-suite-1-bourree-1/bach-english-suite-1-bourree-1.mid,"[{'url': 'https://www.mutopiaproject.org/ftp/BachJS/BWV806/bach-english-suite-1-bourree-1/bach-english-suite-1-bourree-1.mid', 'path': 'ENGLISH_SUITE_I_BOURREE_I.mid', 'checksum': 'a3b73ce82f16678c4f84da00cf8ef806', 'status': 'downloaded'}]"
